Chromosome/scaffold name	Gene stable ID	Transcript stable ID	Exon stable ID	Exon region start (bp)	Exon region end (bp)	5' UTR start	5' UTR end	3' UTR start	3' UTR end	Strand	Exon rank in transcript
1	ENSG00000176022	ENST00000379198	ENSE00001480062	1167629	1170421	1167629	1167658	1168649	1170421	1	1
1	ENSG00000143469	ENST00000367019	ENSE00001443254	210111576	210111622	210111576	210111609			1	1
1	ENSG00000143469	ENST00000367019	ENSE00003523023	210126054	210126101					1	2
1	ENSG00000143469	ENST00000367019	ENSE00003478658	210186978	210187142					1	3
1	ENSG00000143469	ENST00000367019	ENSE00003623413	210194384	210194599					1	4
1	ENSG00000143469	ENST00000367019	ENSE00003599290	210267667	210267938					1	5
1	ENSG00000143469	ENST00000367019	ENSE00003483944	210273357	210273806					1	6
1	ENSG00000143469	ENST00000367019	ENSE00003494058	210329066	210329255					1	7
1	ENSG00000143469	ENST00000367019	ENSE00003629090	210332766	210332822					1	8
1	ENSG00000143469	ENST00000367019	ENSE00001443255	210334074	210335568			210334388	210335568	1	9
1	ENSG00000143469	ENST00000472886	ENSE00003523023	210126054	210126101					1	2
1	ENSG00000143469	ENST00000472886	ENSE00003478658	210186978	210187142					1	3
1	ENSG00000143469	ENST00000472886	ENSE00003623413	210194384	210194599					1	4
1	ENSG00000143469	ENST00000472886	ENSE00003599290	210267667	210267938					1	5
1	ENSG00000143469	ENST00000472886	ENSE00003483944	210273357	210273806					1	6
1	ENSG00000143469	ENST00000472886	ENSE00003494058	210329066	210329255					1	7
1	ENSG00000143469	ENST00000472886	ENSE00001819049	210111596	210111622	210111596	210111609			1	1
1	ENSG00000143469	ENST00000472886	ENSE00001947855	210334074	210335671			210334388	210335671	1	8
1	ENSG00000143469	ENST00000271745	ENSE00003538718	210126054	210126101					1	1
1	ENSG00000143469	ENST00000271745	ENSE00001443247	210126400	210126604					1	2
1	ENSG00000143469	ENST00000271745	ENSE00003603178	210186978	210187142					1	3
1	ENSG00000143469	ENST00000271745	ENSE00003515291	210194384	210194599					1	4
1	ENSG00000143469	ENST00000271745	ENSE00003547199	210267667	210267938					1	5
1	ENSG00000143469	ENST00000271745	ENSE00001867728	210273357	210273535					1	6
1	ENSG00000143469	ENST00000271745	ENSE00003534811	210329066	210329255					1	7
1	ENSG00000143469	ENST00000271745	ENSE00003646444	210334074	210337636					1	8
1	ENSG00000143469	ENST00000367015	ENSE00003623413	210194384	210194599					1	4
1	ENSG00000143469	ENST00000367015	ENSE00003599290	210267667	210267938					1	5
1	ENSG00000143469	ENST00000367015	ENSE00003483944	210273357	210273806					1	6
1	ENSG00000143469	ENST00000367015	ENSE00003494058	210329066	210329255					1	7
1	ENSG00000143469	ENST00000367015	ENSE00003538718	210126054	210126101	210126054	210126101			1	1
1	ENSG00000143469	ENST00000367015	ENSE00001443247	210126400	210126604	210126400	210126604			1	2
1	ENSG00000143469	ENST00000367015	ENSE00003625933	210186978	210187142	210186978	210187030			1	3
1	ENSG00000143469	ENST00000367015	ENSE00003580306	210334074	210337636			210334388	210337636	1	8
1	ENSG00000143469	ENST00000469604	ENSE00003547199	210267667	210267938					1	2
1	ENSG00000143469	ENST00000469604	ENSE00003534811	210329066	210329255					1	4
1	ENSG00000143469	ENST00000469604	ENSE00001950420	210194391	210194599					1	1
1	ENSG00000143469	ENST00000469604	ENSE00003567959	210273357	210273806					1	3
1	ENSG00000143469	ENST00000469604	ENSE00003630715	210332745	210332822					1	5
1	ENSG00000143469	ENST00000469604	ENSE00001906865	210334074	210336312					1	6
1	ENSG00000143469	ENST00000422431	ENSE00003478658	210186978	210187142					1	4
1	ENSG00000143469	ENST00000422431	ENSE00003623413	210194384	210194599					1	5
1	ENSG00000143469	ENST00000422431	ENSE00003599290	210267667	210267938					1	6
1	ENSG00000143469	ENST00000422431	ENSE00003483944	210273357	210273806					1	7
1	ENSG00000143469	ENST00000422431	ENSE00003494058	210329066	210329255					1	8
1	ENSG00000143469	ENST00000422431	ENSE00003629090	210332766	210332822					1	9
1	ENSG00000143469	ENST00000422431	ENSE00003552836	210111538	210111622	210111538	210111595			1	1
1	ENSG00000143469	ENST00000422431	ENSE00003538337	210126054	210126101					1	2
1	ENSG00000143469	ENST00000422431	ENSE00002266549	210139238	210139358					1	3
1	ENSG00000143469	ENST00000422431	ENSE00003492341	210334074	210337631			210334388	210337631	1	10
1	ENSG00000143469	ENST00000534859	ENSE00003523023	210126054	210126101					1	2
1	ENSG00000143469	ENST00000534859	ENSE00003478658	210186978	210187142					1	3
1	ENSG00000143469	ENST00000534859	ENSE00003623413	210194384	210194599					1	4
1	ENSG00000143469	ENST00000534859	ENSE00003599290	210267667	210267938					1	5
1	ENSG00000143469	ENST00000534859	ENSE00003483944	210273357	210273806					1	6
1	ENSG00000143469	ENST00000534859	ENSE00003494058	210329066	210329255					1	7
1	ENSG00000143469	ENST00000534859	ENSE00003492341	210334074	210337631			210334388	210337631	1	9
1	ENSG00000143469	ENST00000534859	ENSE00003500025	210111538	210111622	210111538	210111609			1	1
1	ENSG00000143469	ENST00000534859	ENSE00003477952	210332745	210332822					1	8
1	ENSG00000143469	ENST00000399639	ENSE00003523023	210126054	210126101					1	2
1	ENSG00000143469	ENST00000399639	ENSE00003478658	210186978	210187142					1	3
1	ENSG00000143469	ENST00000399639	ENSE00003623413	210194384	210194599					1	4
1	ENSG00000143469	ENST00000399639	ENSE00003599290	210267667	210267938					1	5
1	ENSG00000143469	ENST00000399639	ENSE00003483944	210273357	210273806					1	6
1	ENSG00000143469	ENST00000399639	ENSE00003494058	210329066	210329255					1	7
1	ENSG00000143469	ENST00000399639	ENSE00003500025	210111538	210111622	210111538	210111609			1	1
1	ENSG00000143469	ENST00000399639	ENSE00002422067	210330224	210330225					1	8
1	ENSG00000143469	ENST00000399639	ENSE00003502551	210332766	210332822			210332787	210332822	1	9
1	ENSG00000143469	ENST00000399639	ENSE00003683681	210334074	210337631			210334074	210337631	1	10
1	ENSG00000143469	ENST00000537238	ENSE00003623413	210194384	210194599					1	5
1	ENSG00000143469	ENST00000537238	ENSE00003599290	210267667	210267938					1	6
1	ENSG00000143469	ENST00000537238	ENSE00003483944	210273357	210273806					1	7
1	ENSG00000143469	ENST00000537238	ENSE00003494058	210329066	210329255					1	8
1	ENSG00000143469	ENST00000537238	ENSE00003538718	210126054	210126101	210126054	210126101			1	2
1	ENSG00000143469	ENST00000537238	ENSE00001443247	210126400	210126604	210126400	210126604			1	3
1	ENSG00000143469	ENST00000537238	ENSE00003625933	210186978	210187142	210186978	210187030			1	4
1	ENSG00000143469	ENST00000537238	ENSE00003492341	210334074	210337631			210334388	210337631	1	9
1	ENSG00000143469	ENST00000537238	ENSE00003655098	210111538	210111622	210111538	210111622			1	1
1	ENSG00000159352	ENST00000368884	ENSE00001810732	151227179	151227284	151227179	151227258			1	1
1	ENSG00000159352	ENST00000368884	ENSE00003607968	151234637	151234777					1	2
1	ENSG00000159352	ENST00000368884	ENSE00003498568	151236390	151236504					1	3
1	ENSG00000159352	ENST00000368884	ENSE00003536253	151237308	151237394					1	4
1	ENSG00000159352	ENST00000368884	ENSE00003668859	151237642	151237710					1	5
1	ENSG00000159352	ENST00000368884	ENSE00003560632	151237870	151238085					1	6
1	ENSG00000159352	ENST00000368884	ENSE00001633563	151238480	151238588					1	7
1	ENSG00000159352	ENST00000368884	ENSE00003587378	151238784	151238915					1	8
1	ENSG00000159352	ENST00000368884	ENSE00003671650	151238996	151239063					1	9
1	ENSG00000159352	ENST00000368884	ENSE00001448199	151239649	151239955			151239820	151239955	1	10
1	ENSG00000159352	ENST00000368881	ENSE00003607968	151234637	151234777					1	2
1	ENSG00000159352	ENST00000368881	ENSE00003498568	151236390	151236504					1	3
1	ENSG00000159352	ENST00000368881	ENSE00003536253	151237308	151237394					1	4
1	ENSG00000159352	ENST00000368881	ENSE00003668859	151237642	151237710					1	5
1	ENSG00000159352	ENST00000368881	ENSE00003560632	151237870	151238085					1	6
1	ENSG00000159352	ENST00000368881	ENSE00003587378	151238784	151238915					1	8
1	ENSG00000159352	ENST00000368881	ENSE00003671650	151238996	151239063					1	9
1	ENSG00000159352	ENST00000368881	ENSE00001045043	151227185	151227284	151227185	151227258			1	1
1	ENSG00000159352	ENST00000368881	ENSE00001367044	151238480	151238597					1	7
1	ENSG00000159352	ENST00000368881	ENSE00001881813	151239649	151239935			151239820	151239935	1	10
1	ENSG00000159352	ENST00000461434	ENSE00001903541	151227234	151227284					1	1
1	ENSG00000159352	ENST00000461434	ENSE00001813471	151234637	151235386					1	2
1	ENSG00000159352	ENST00000462970	ENSE00001887415	151227239	151227284					1	1
1	ENSG00000159352	ENST00000462970	ENSE00003479170	151234637	151234777					1	2
1	ENSG00000159352	ENST00000462970	ENSE00003649632	151236390	151236504					1	3
1	ENSG00000159352	ENST00000462970	ENSE00001940441	151237308	151237710					1	4
1	ENSG00000159352	ENST00000462970	ENSE00001893880	151237870	151238064					1	5
1	ENSG00000159352	ENST00000476855	ENSE00003479170	151234637	151234777					1	2
1	ENSG00000159352	ENST00000476855	ENSE00003649632	151236390	151236504					1	3
1	ENSG00000159352	ENST00000476855	ENSE00001841553	151227245	151227284					1	1
1	ENSG00000159352	ENST00000476855	ENSE00003596417	151237308	151237394					1	4
1	ENSG00000159352	ENST00000476855	ENSE00003607670	151237642	151237710					1	5
1	ENSG00000159352	ENST00000476855	ENSE00003551592	151237870	151238085					1	6
1	ENSG00000159352	ENST00000476855	ENSE00001812256	151238480	151238915					1	7
1	ENSG00000159352	ENST00000476855	ENSE00003563666	151238996	151239063					1	8
1	ENSG00000159352	ENST00000476855	ENSE00001848556	151239649	151239708					1	9
1	ENSG00000159352	ENST00000437736	ENSE00003498568	151236390	151236504					1	3
1	ENSG00000159352	ENST00000437736	ENSE00003536253	151237308	151237394					1	4
1	ENSG00000159352	ENST00000437736	ENSE00003668859	151237642	151237710					1	5
1	ENSG00000159352	ENST00000437736	ENSE00001638467	151231539	151231697	151231539	151231697			1	1
1	ENSG00000159352	ENST00000437736	ENSE00003673954	151234637	151234777	151234637	151234655			1	2
1	ENSG00000159352	ENST00000437736	ENSE00003690854	151237870	151238085					1	6
1	ENSG00000159352	ENST00000469786	ENSE00001856571	151235036	151235080					1	1
1	ENSG00000159352	ENST00000469786	ENSE00001836386	151236250	151236504					1	2
1	ENSG00000159352	ENST00000469786	ENSE00001863016	151237308	151237415					1	3
1	ENSG00000159352	ENST00000445776	ENSE00003668859	151237642	151237710					1	2
1	ENSG00000159352	ENST00000445776	ENSE00001633563	151238480	151238588					1	3
1	ENSG00000159352	ENST00000445776	ENSE00003587378	151238784	151238915					1	4
1	ENSG00000159352	ENST00000445776	ENSE00003671650	151238996	151239063					1	5
